Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,288.406555,320.957397,268.915619,296.074310,293.779480,206111333
2013-09-01,292.858795,351.084259,288.950714,328.971466,326.421631,150799807
2013-10-01,329.367218,389.126221,326.794800,377.105164,374.182251,163880010
2013-11-01,379.924927,400.751526,354.299774,394.468933,391.411407,139239009
2013-12-01,393.776367,399.564270,355.190216,372.405579,369.519073,134575071
2014-01-01,373.543365,384.871857,341.833496,345.840515,343.159912,115951739
2014-02-01,343.317566,413.761993,328.575684,412.525269,409.327820,144021281
2014-03-01,410.595947,416.235443,374.730652,394.419464,391.362335,106228414
2014-04-01,400.850464,433.153992,395.260437,410.348602,407.167999,83930496
2014-05-01,410.348602,460.065338,402.730316,410.645416,407.462524,122503780
2014-06-01,410.595947,450.567230,406.193176,426.722961,423.415466,113747511
2014-07-01,428.207062,483.019135,428.207062,442.009003,438.583038,125898105
2014-08-01,440.079712,526.008057,425.832520,519.478088,517.654419,125183505
2014-09-01,520.417969,536.841858,486.185181,496.821106,495.076965,140606024
2014-10-01,495.881165,532.785339,463.033508,530.163452,528.302246,86184791
2014-11-01,524.969177,544.855896,506.071869,527.838379,525.985352,79925755
2014-12-01,534.121033,534.121033,463.676605,490.291138,488.569916,89190496
2015-01-01,489.252289,601.250977,484.008514,578.940308,576.907898,119431553
2015-02-01,581.562134,605.901123,535.555603,569.046387,567.048706,95075490
2015-03-01,591.060303,594.622070,512.651306,544.361206,542.450195,95777055
2015-04-01,543.272827,573.500000,506.750000,508.250000,506.465759,81568538
2015-05-01,508.250000,530.950012,463.549988,481.649994,479.959106,120861738
2015-06-01,482.899994,482.899994,417.250000,434.149994,432.625885,164831363
2015-07-01,436.750000,447.399994,366.100006,383.850006,382.502472,187176328
2015-08-01,386.350006,396.000000,301.600006,340.149994,338.955872,200367782
2015-09-01,334.950012,358.899994,279.100006,298.600006,297.551727,176541896
2015-10-01,301.450012,396.799988,291.500000,384.950012,383.598602,223720096
2015-11-01,386.100006,431.899994,373.049988,423.500000,422.013245,175007744
2015-12-01,427.000000,427.000000,360.500000,391.299988,389.926300,153232921
2016-01-01,392.500000,403.000000,323.000000,336.899994,335.717285,184037689
2016-02-01,338.750000,344.700012,265.799988,299.700012,298.647888,251270913
2016-03-01,301.100006,393.600006,301.100006,386.600006,385.242798,180650695
2016-04-01,386.399994,425.250000,369.000000,408.350006,406.916473,124230334
2016-05-01,407.950012,464.899994,376.100006,459.649994,458.036346,310845164
2016-06-01,455.750000,489.899994,421.250000,459.250000,457.637787,242209799
2016-07-01,463.600006,513.349976,454.100006,503.200012,501.433472,130370299
2016-08-01,506.799988,548.799988,475.500000,537.700012,536.029358,158425947
2016-09-01,540.500000,598.400024,516.650024,534.849976,533.188171,164094093
2016-10-01,539.400024,571.099976,510.750000,537.000000,535.331543,107519886
2016-11-01,534.400024,549.349976,443.149994,459.299988,457.872925,169878493
2016-12-01,457.000000,486.250000,428.299988,472.000000,470.533478,181549238
2017-01-01,472.000000,552.000000,469.049988,523.549988,521.923340,110527645
2017-02-01,527.500000,544.500000,434.350006,456.750000,455.330872,163811534
